id,timestamp,text,speaker,reply_to,conversation_id,end,duration,sentiment,decision,private,survival item,clean_text,age_of_acquisition,concreteness,familiarity,imageability,please,please_start,has_hedge,indirect_(btw),hedges,factuality,deference,gratitude,apologizing,1st_person_plural,1st_person,1st_person_start,2nd_person,2nd_person_start,indirect_(greeting),direct_question,direct_start,has_positive,has_negative,subjunctive,indicative,politeness_markers_please,politeness_markers_please_start,politeness_markers_has_hedge,politeness_markers_indirect_(btw),politeness_markers_hedges,politeness_markers_factuality,politeness_markers_deference,politeness_markers_gratitude,politeness_markers_apologizing,politeness_markers_1st_person_pl.,politeness_markers_1st_person,politeness_markers_1st_person_start,politeness_markers_2nd_person,politeness_markers_2nd_person_start,politeness_markers_indirect_(greeting),politeness_markers_direct_question,politeness_markers_direct_start,politeness_markers_has_positive,politeness_markers_has_negative,politeness_markers_subjunctive,politeness_markers_indicative
1.Blue.6,0 days 00:00:19.100000,"""Mhm""",1.Blue,1.Blue.5,1.Pink.1,00:19.7,00:00.6,,,,,Mhm,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Pink.5,0 days 00:00:19.700000,"""So I would say cigarette lighter is two""",1.Pink,1.Blue.6,1.Pink.1,00:21.6,00:01.8,,Proposal,,Cigarette Lighter,So I would say cigarette lighter is two,0.0,356.14,592.43,383.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('i', 0, 2)]]",[],[],[],[],[],[],"[[('lighter', 0, 6)]]",[],[],[]
1.Pink.6,0 days 00:00:21.600000,"""I didnt write that down but I kinda made a connection afterwards""",1.Pink,1.Pink.5,1.Pink.1,00:24.2,00:02.7,,,,Cigarette Lighter,I didnt write that down but I kinda made a connection afterwards,0.0,312.42,588.92,343.17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('i', 0, 1)], [('i', 1, 1)]]",[],[],[],[],[],"[[('but', 1, 0)]]",[],[],[],[]
1.Blue.7,0 days 00:00:23.900000,"""$ Yeah okay""",1.Blue,1.Pink.6,1.Pink.1,00:25.0,00:01.0,Positive,Agreement,,,$ Yeah okay,0.0,245.0,555.0,269.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Pink.7,0 days 00:00:24.300000,"""$""",1.Pink,1.Blue.7,1.Pink.1,00:25.4,00:01.2,Positive,,,,$,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Green.2,0 days 00:00:25.500000,"""I did two as compass""",1.Green,1.Pink.7,1.Pink.1,00:26.9,00:01.4,,,Private,Compass,I did two as compass,0.0,314.75,588.0,365.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('i', 0, 1)]]",[],[],[],[],[],[],[],[],[],[]
1.Blue.8,0 days 00:00:27,"""Compass""",1.Blue,1.Green.2,1.Pink.1,00:28.0,00:01.0,,,,Compass,Compass,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Pink.8,0 days 00:00:27.400000,"""Mhm thats what I did initially""",1.Pink,1.Blue.8,1.Pink.1,00:29.2,00:01.8,,,Private,Compass,Mhm thats what I did initially,0.0,293.2,603.2,299.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('i', 0, 5)]]",[],[],[],[],[],[],[],[],[],[]
1.Blue.9,0 days 00:00:29.500000,"""I did that as like nine""",1.Blue,1.Pink.8,1.Pink.1,00:30.9,00:01.4,,,Private,Compass,I did that as like nine,0.0,307.67,591.33,348.17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('i', 0, 1)]]",[],[],[],[],[],[],"[[('like', 0, 5)]]",[],[],[]
1.Blue.10,0 days 00:00:30.900000,"""$""",1.Blue,1.Blue.9,1.Pink.1,00:31.3,00:00.5,Positive,,,,$,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Green.3,0 days 00:00:31.400000,"""Because theres no point in being able to start a fire if you cant get out right""",1.Green,1.Blue.10,1.Pink.1,00:34.7,00:03.4,,,,,Because theres no point in being able to start a fire if you cant get out right,0.0,297.73,602.87,325.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],"[[('you', 0, 14)]]",[],[],[],[],"[[('right', 0, 19)]]",[],[],[]
1.Pink.9,0 days 00:00:34.600000,"""Well theres """,1.Pink,1.Green.3,1.Pink.1,00:36.1,00:01.5,,,,,Well theres ,0.0,302.0,593.33,345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[('well', 0, 1)]]",[],[],[]
1.Blue.11,0 days 00:00:35.400000,"""Yeah but I was just thinking more of """,1.Blue,1.Pink.9,1.Pink.1,00:37.8,00:02.4,,,,,Yeah but I was just thinking more of ,0.0,270.83,597.5,272.83,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],"[[('thinking', 0, 6)]]",[],"[[('i', 0, 3), ('thinking', 0, 6)]]",[],[],[],[],[],"[[('i', 0, 3)]]",[],[],[],[],[],[],[],[],[],[]
1.Pink.10,0 days 00:00:37,"""Short term""",1.Pink,1.Blue.11,1.Pink.1,00:38.5,00:01.5,,,,,Short term,394.0,362.5,580.5,409.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Blue.12,0 days 00:00:38.300000,"""Yeah just kinda like to keep you warm""",1.Blue,1.Pink.10,1.Pink.1,00:41.1,00:02.8,,,,,Yeah just kinda like to keep you warm,0.0,279.14,595.62,314.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],"[[('you', 0, 7)]]",[],[],[],[],"[[('like', 0, 4)], [('warm', 0, 8)]]",[],[],[]
1.Blue.13,0 days 00:00:41.100000,"""Or if anyone like sees you you know helicopters like flying over""",1.Blue,1.Blue.12,1.Pink.1,00:44.7,00:03.6,,,,,Or if anyone like sees you you know helicopters like flying over,0.0,290.62,608.78,316.56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],"[[('you', 0, 6)], [('you', 0, 7)]]",[],[],[],[],"[[('like', 0, 4)], [('like', 0, 10)]]",[],[],[]
1.Green.4,0 days 00:00:44.400000,"""You wont see that""",1.Green,1.Blue.13,1.Pink.1,00:45.5,00:01.1,Negative,,,,You wont see that,0.0,300.4,603.4,315.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],"[[('you', 0, 1)]]",[],[],[],[],[],[],[],[]
1.Blue.14,0 days 00:00:44.900000,"""$""",1.Blue,1.Green.4,1.Pink.1,00:45.9,00:01.0,Positive,,,,$,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Blue.15,0 days 00:00:46,"""Well maybe""",1.Blue,1.Blue.14,1.Pink.1,00:47.3,00:01.3,,,,,Well maybe,0.0,467.0,574.0,372.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,[],[],"[[('maybe', 0, 2)]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[('well', 0, 1)]]",[],[],[]
1.Pink.11,0 days 00:00:47.300000,"""Yeah thats what I was thinking""",1.Pink,1.Blue.15,1.Pink.1,00:48.1,00:00.8,,,,,Yeah thats what I was thinking,0.0,285.0,615.6,286.6,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],"[[('thinking', 0, 7)]]",[],"[[('i', 0, 5), ('thinking', 0, 7)]]",[],[],[],[],[],"[[('i', 0, 5)]]",[],[],[],[],[],[],[],[],[],[]
1.Pink.12,0 days 00:00:48.100000,""" I was like you could start a really big fire""",1.Pink,1.Pink.11,1.Pink.1,00:49.5,00:01.4,,,,, I was like you could start a really big fire,0.0,354.83,612.22,361.22,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,[],[],[],[],[],"[[('really', 0, 8)]]",[],[],[],[],"[[('i', 0, 1)]]",[],"[[('you', 0, 4)]]",[],[],[],[],"[[('like', 0, 3)]]",[],[],[]
1.Pink.13,0 days 00:00:49.500000,"""$""",1.Pink,1.Pink.12,1.Pink.1,00:50.4,00:00.8,Positive,,,,$,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Blue.16,0 days 00:00:50.200000,"""Yeah thats all I was thinking about""",1.Blue,1.Pink.13,1.Pink.1,00:51.7,00:01.6,,,,,Yeah thats all I was thinking about,0.0,271.0,607.5,290.17,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],"[[('thinking', 0, 7)]]",[],"[[('i', 0, 5), ('thinking', 0, 7)]]",[],[],[],[],[],"[[('i', 0, 5)]]",[],[],[],[],[],[],[],[],[],[]
1.Blue.17,0 days 00:00:51.700000,"""Um""",1.Blue,1.Blue.16,1.Pink.1,00:52.3,00:00.6,,,,,Um,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Green.5,0 days 00:00:52.500000,"""Mm mm coming back from my military training yeah no""",1.Green,1.Blue.17,1.Pink.1,00:58.0,00:05.5,Negative,,,,Mm mm coming back from my military training yeah no,326.5,345.0,574.8,371.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('my', 0, 6)]]",[],[],[],[],[],[],[],[],[],[]
1.Green.6,0 days 00:00:58,"""$""",1.Green,1.Green.5,1.Pink.1,00:59.0,00:01.0,"Positive, Negative",,,,$,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Pink.14,0 days 00:00:58.800000,"""Mhm""",1.Pink,1.Green.6,1.Pink.1,01:00.0,00:01.3,,,,,Mhm,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Pink.15,0 days 00:01:01.100000,"""Okay so what do we wanna do""",1.Pink,1.Pink.14,1.Pink.1,01:02.5,00:01.4,,,,,Okay so what do we wanna do,0.0,257.0,601.38,276.12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],"[[('we', 0, 5)]]",[],[],[],[],[],[],[],[],[],[],[]
1.Blue.18,0 days 00:01:05.200000,"""Uh we if you both put compass as two then we can do compass""",1.Blue,1.Pink.15,1.Pink.1,01:09.0,00:03.8,,Proposal,,Compass,Uh we if you both put compass as two then we can do compass,0.0,281.36,602.27,314.18,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],"[[('we', 0, 2)], [('we', 0, 11)]]",[],[],"[[('you', 0, 4)]]",[],[],[],[],[],[],[],[]
1.Green.7,0 days 00:01:08.600000,"""Do you want it""",1.Green,1.Blue.18,1.Pink.1,01:09.6,00:01.0,,,,Compass,Do you want it,0.0,304.75,618.0,318.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],"[[('you', 0, 2)]]",[],[],[],[],[],[],[],[]
1.Pink.16,0 days 00:01:09,"""Okay no I really dont it doesnt matter""",1.Pink,1.Green.7,1.Pink.1,01:11.1,00:02.1,,,,,Okay no I really dont it doesnt matter,411.0,322.25,590.6,286.7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],"[[('really', 0, 4)]]",[],[],[],[],"[[('i', 0, 3)]]",[],[],[],[],[],[],[],[],[],[]
1.Green.8,0 days 00:01:09.800000,"""Its up to you so""",1.Green,1.Pink.16,1.Pink.1,01:10.8,00:01.1,,,,,Its up to you so,0.0,274.6,599.4,293.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],"[[('you', 0, 4)]]",[],[],[],[],[],[],[],[]
1.Pink.17,0 days 00:01:11.200000,"""Two""",1.Pink,1.Green.8,1.Pink.1,01:11.8,00:00.6,,Confirmation,,,Two,0.0,383.0,596.0,445.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Green.9,0 days 00:01:11.600000,"""Sure""",1.Green,1.Pink.17,1.Pink.1,01:12.2,00:00.6,,Agreement,,,Sure,0.0,281.0,552.0,285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Pink.18,0 days 00:01:13.300000,"""Three""",1.Pink,1.Green.9,1.Pink.1,01:14.5,00:01.2,,,,,Three,0.0,439.0,581.0,495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Green.10,0 days 00:01:15.900000,"""I did the uh map""",1.Green,1.Pink.18,1.Pink.1,01:17.5,00:01.6,,,Private,Air Map,I did the uh map,0.0,380.0,585.0,397.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('i', 0, 1)]]",[],[],[],[],[],[],[],[],[],[]
1.Green.11,0 days 00:01:18,"""Sectional air map""",1.Green,1.Green.10,1.Pink.1,01:19.2,00:01.2,,,Private,Air Map,Sectional air map,0.0,541.5,576.5,518.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Blue.19,0 days 00:01:20.200000,"""I did the um whiskey""",1.Blue,1.Green.11,1.Pink.1,01:23.6,00:03.4,,,Private,Whiskey,I did the um whiskey,0.0,389.75,592.25,398.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('i', 0, 1)]]",[],[],[],[],[],[],[],[],[],[]
1.Blue.20,0 days 00:01:23.600000,"""Just cause I was thinking""",1.Blue,1.Blue.19,1.Pink.1,01:25.2,00:01.6,,,,,Just cause I was thinking,0.0,282.5,594.0,298.5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],"[[('thinking', 0, 5)]]",[],"[[('i', 0, 3), ('thinking', 0, 5)]]",[],[],[],[],[],"[[('i', 0, 3)]]",[],[],[],[],[],[],[],[],[],[]
1.Pink.19,0 days 00:01:23.900000,"""Yeah the the cigarette lighter and the whiskey and yeah""",1.Pink,1.Blue.20,1.Pink.1,01:27.3,00:03.4,,,,"Cigarette Lighter, Whiskey",Yeah the the cigarette lighter and the whiskey and yeah,0.0,345.25,600.0,346.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[('lighter', 0, 5)]]",[],[],[]
1.Blue.21,0 days 00:01:25.300000,"""Yeah""",1.Blue,1.Pink.19,1.Pink.1,01:26.4,00:01.1,,,,,Yeah,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Green.12,0 days 00:01:26.500000,"""Mhm yeah I can see that """,1.Green,1.Blue.21,1.Pink.1,01:27.5,00:01.0,,,,,Mhm yeah I can see that ,0.0,358.0,621.0,359.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('i', 1, 2)]]",[],[],[],[],[],[],[],[],[],[]
1.Blue.22,0 days 00:01:27.500000,"""Yeah thats what I was """,1.Blue,1.Green.12,1.Pink.1,01:29.3,00:01.8,,,,,Yeah thats what I was ,0.0,285.0,615.6,286.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('i', 0, 5)]]",[],[],[],[],[],[],[],[],[],[]
1.Pink.20,0 days 00:01:29.200000,"""Okay do you want to do cigarette lighter as three because it was your two""",1.Pink,1.Blue.22,1.Pink.1,01:32.6,00:03.4,,Proposal,,Cigarette Lighter,Okay do you want to do cigarette lighter as three because it was your two,0.0,304.8,594.13,338.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],"[[('you', 0, 3)], [('your', 0, 14)]]",[],[],[],[],"[[('lighter', 0, 8)]]",[],[],[]
1.Green.13,0 days 00:01:31.500000,"""Sure""",1.Green,1.Pink.20,1.Pink.1,01:32.1,00:00.6,,Agreement,,,Sure,0.0,281.0,552.0,285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Blue.23,0 days 00:01:32.500000,"""Mhm""",1.Blue,1.Green.13,1.Pink.1,01:33.1,00:00.6,,Agreement,,,Mhm,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Green.14,0 days 00:01:32.900000,"""Sure we can do that""",1.Green,1.Blue.23,1.Pink.1,01:33.6,00:00.7,,Agreement,,,Sure we can do that,0.0,284.8,601.2,303.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],"[[('we', 0, 2)]]",[],[],[],[],[],[],[],[],[],[],[]
1.Pink.21,0 days 00:01:33,"""I think that makes sense""",1.Pink,1.Green.14,1.Pink.1,01:34.6,00:01.6,,,,,I think that makes sense,336.0,344.25,608.5,360.5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],"[[('think', 0, 2)]]",[],"[[('i', 0, 1), ('think', 0, 2)]]",[],[],[],[],[],"[[('i', 0, 1)]]",[],[],[],[],[],[],[],[],[],[]
1.Pink.22,0 days 00:01:35,"""And then four is the whiskey""",1.Pink,1.Pink.21,1.Pink.1,01:37.1,00:02.1,,Proposal,,Whiskey,And then four is the whiskey,0.0,306.5,601.5,325.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Pink.23,0 days 00:01:38.200000,"""Does that make sense""",1.Pink,1.Pink.22,1.Pink.1,01:39.2,00:01.0,,,,,Does that make sense,336.0,282.33,610.25,281.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Blue.24,0 days 00:01:40.200000,"""Yeah""",1.Blue,1.Pink.23,1.Pink.1,01:40.8,00:00.6,,Agreement,,,Yeah,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Pink.24,0 days 00:01:41.200000,"""Because theres """,1.Pink,1.Blue.24,1.Pink.1,01:42.4,00:01.2,,,,,Because theres ,0.0,211.67,611.33,252.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Green.15,0 days 00:01:41.400000,"""I did four as uh ball of steel wool""",1.Green,1.Pink.24,1.Pink.1,01:43.6,00:02.2,,Disagreement,Private,Steel Wool,I did four as uh ball of steel wool,198.5,403.75,571.88,433.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('i', 0, 1)]]",[],[],[],[],[],[],[],[],[],[]
1.Green.16,0 days 00:01:43.600000,"""Cause thatll catch a lot faster than uh that whiskey will""",1.Green,1.Green.15,1.Pink.1,01:47.0,00:03.4,,Disagreement,,"Steel Wool, Whiskey",Cause thatll catch a lot faster than uh that whiskey will,0.0,275.38,593.12,295.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[('faster', 0, 7)]]",[],[],[]
1.Pink.25,0 days 00:01:46.400000,"""Will it""",1.Pink,1.Green.16,1.Pink.1,01:46.9,00:00.5,,,,,Will it,0.0,273.0,604.5,293.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
